64,ESCUELA ES NRO17,AV.LIB.GRAL SAN MARTIN 472,MERLO (PARTE),652,9
65,ESCUELA ES NRO17,AV.LIB.GRAL SAN MARTIN 472,MERLO (PARTE),652,9
66,ESCUELA ES NRO17,AV.LIB.GRAL SAN MARTIN 472,MERLO (PARTE),652,9
67,ESCUELA EP NRO36,SULLIVAN 1200,MERLO,652,6
68,ESCUELA EP NRO36,SULLIVAN 1200,MERLO,652,6
69,ESCUELA EP NRO36,SULLIVAN 1200,MERLO,652,6
70,ESCUELA EP NRO36,SULLIVAN 1200,MERLO,652,6
71,ESCUELA EP NRO36,SULLIVAN 1200,MERLO,652,6
72,ESCUELA EP NRO36,SULLIVAN 1200,MERLO,652,6
73,INST.FUNDADOR FCO.DE MERLO,25 DE MAYO 1225,MERLO (PARTE),652,8
74,INST.FUNDADOR FCO.DE MERLO,25 DE MAYO 1225,MERLO (PARTE),652,8
75,INST.FUNDADOR FCO.DE MERLO,25 DE MAYO 1225,MERLO (PARTE),652,8
76,INST.FUNDADOR FCO.DE MERLO,25 DE MAYO 1225,MERLO (PARTE),652,8
77,INST.FUNDADOR FCO.DE MERLO,25 DE MAYO 1225,MERLO (PARTE),652,8
78,INST.FUNDADOR FCO.DE MERLO,25 DE MAYO 1225,MERLO (PARTE),652,8
79,INST.FUNDADOR FCO.DE MERLO,25 DE MAYO 1225,MERLO (PARTE),652,8
80,INST.FUNDADOR FCO.DE MERLO,25 DE MAYO 1225,MERLO (PARTE),652,8
81,ESCUELA ES NRO9,AV.ALEM 1588,MERLO (PARTE),652,8
82,ESCUELA ES NRO9,AV.ALEM 1588,MERLO (PARTE),652,8
83,ESCUELA ES NRO9,AV.ALEM 1588,MERLO (PARTE),652,8
84,ESCUELA ES NRO9,AV.ALEM 1588,MERLO (PARTE),652,8
85,ESCUELA ES NRO9,AV.ALEM 1588,MERLO (PARTE),652,8
86,ESCUELA ES NRO9,AV.ALEM 1588,MERLO (PARTE),652,8
